sku,url_key,attribute_set_code,product_type,product_websites,product_online,categories,vendor,visibility,name,description,producttype,screen,screen_resolution,cpu,ram,memory,vga,os,weightkg,price,accessories,qty,max_cart_qty,pin,base_image,small_image,thumbnail_image,additional_images
aspire 3-4gb-1tb hdd,aspire 3-4gb-1tb hdd,Laptop,simple,base,Yes,Laptop/Acer,Acer,"Catalog, Search",Aspire 3,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5,Windows 10,2.1kg,10973377,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,acer-03.jpg,acer-03.jpg,acer-03.jpg,acer-04.jpg
aspire 3-4gb-500gb hdd,aspire 3-4gb-500gb hdd,Laptop,simple,base,Yes,Laptop/Acer,Acer,"Catalog, Search",Aspire 3,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,500GB HDD,AMD Radeon R5,Windows 10,2.1kg,11112280,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,acer-05.jpg,acer-05.jpg,acer-05.jpg,acer-06.jpg
aspire 5-8gb-1tb hdd,aspire 5-8gb-1tb hdd,Laptop,simple,base,Yes,Laptop/Acer,Acer,"Catalog, Search",Aspire 5,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Nvidia GeForce MX150,Windows 10,2.2kg,19140902,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,acer-07.jpg,acer-07.jpg,acer-07.jpg,acer-08.jpg
aspire a515-51g-32mx-4gb-1tb hdd,aspire a515-51g-32mx-4gb-1tb hdd,Laptop,simple,base,Yes,Laptop/Acer,Acer,"Catalog, Search",Aspire A515-51G-32MX,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2kg,14723771,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,acer-09.jpg,acer-09.jpg,acer-09.jpg,acer-10.jpg
aspire a515-51g-4gb-256gb ssd,aspire a515-51g-4gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Acer,Acer,"Catalog, Search",Aspire A515-51G,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2kg,18946437,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,acer-11.jpg,acer-11.jpg,acer-11.jpg,acer-12.jpg
aspire a515-51g-8gb-256gb ssd,aspire a515-51g-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Acer,Acer,"Catalog, Search",Aspire A515-51G,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2kg,23363569,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,acer-13.jpg,acer-13.jpg,acer-13.jpg,acer-14.jpg
aspire e5-475-8gb-1tb hdd,aspire e5-475-8gb-1tb hdd,Laptop,simple,base,Yes,Laptop/Acer,Acer,"Catalog, Search",Aspire E5-475,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,14,1366x768,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.1kg,10806692,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,acer-15.jpg,acer-15.jpg,acer-15.jpg,acer-16.jpg
blade pro z-16gb-1tb ssd,blade pro z-16gb-1tb ssd,Laptop,simple,base,Yes,Laptop/Razer,Razer,"Catalog, Search",Blade Pro Z,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,14.8,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,1TB SSD,Nvidia GeForce GTX 1060,Windows 10,1.95kg,141653789,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,RAZOR-1.1.jpg,RAZOR-1.1.jpg,RAZOR-1.1.jpg,RAZOR-1.2.jpg
blade pro-16gb-1tb ssd,blade pro-16gb-1tb ssd,Laptop,simple,base,Yes,Laptop/Razer,Razer,"Catalog, Search",Blade Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,14,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,1TB SSD,Nvidia GeForce GTX 1060,Windows 10,1.95kg,97204669,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,RAZOR-2.1.jpg,RAZOR-2.1.jpg,RAZOR-2.1.jpg,RAZOR-2.2.jpg
blade pro-16gb-256gb ssd,blade pro-16gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Razer,Razer,"Catalog, Search",Blade Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,14,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,1.95kg,72202039,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,RAZOR-3.1.jpg,RAZOR-3.1.jpg,RAZOR-3.1.jpg,RAZOR-3.2.jpg
blade pro-16gb-512gb ssd,blade pro-16gb-512gb ssd,Laptop,simple,base,Yes,Laptop/Razer,Razer,"Catalog, Search",Blade Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,14,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1060,Windows 10,1.95kg,80536249,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,RAZOR-4.1.jpg,RAZOR-4.1.jpg,RAZOR-4.1.jpg,RAZOR-4.2.jpg
blade pro-32gb-1tb ssd,blade pro-32gb-1tb ssd,Laptop,simple,base,Yes,Laptop/Razer,Razer,"Catalog, Search",Blade Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,32GB,1TB SSD,Nvidia GeForce GTX 1080,Windows 10,3.49kg,169434489,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,RAZOR-5.1.jpg,RAZOR-5.1.jpg,RAZOR-5.1.jpg,RAZOR-5.2.jpg
blade pro-32gb-512gb ssd,blade pro-32gb-512gb ssd,Laptop,simple,base,Yes,Laptop/Razer,Razer,"Catalog, Search",Blade Pro,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,32GB,512GB SSD,Nvidia GeForce GTX 1080,Windows 10,3.49kg,152766069,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,RAZOR-6.1.jpg,RAZOR-6.1.jpg,RAZOR-6.1.jpg,RAZOR-6.2.jpg
